"Source","Estudiante","Tarea","Tipología textual","Tema","Edad","Sexo","País","L1","Estudios","Edad de inicio en el estudio del español","Número de meses estudiando español","Contactos personales en países de habla española","Contexto a la izquierda","Elemento gramatical 1","Etiqueta 1","Lema 1","Palabra ortográfica 1","Información adicional 1","Contexto a la derecha"
"IRENG.xlsx","1681","4772","Nota/aviso","Nota llegar tarde",63,"Hombre","Estados Unidos","Inglés","Universidad",63,6,"Amigos&Familiares","Mi hefe me pide","ir","VMNP","ir",NA,NA,"a una renunion ."
"IRENG.xlsx","201","552","Correo electrónico","Cambio trabajo",32,"Mujer","Francia","Inglés","Primaria",1,1,"No","A mi me gusta","ir","VMNP","ir",NA,NA,"a el cafe , a el restaurante , a el cine o a el teatro com mi marrido y mis"
"IRENG.xlsx","55","148","Correo electrónico","Cambio trabajo",52,"Mujer","Irlanda","Inglés","Otros",52,5,"Otros","Fiona tiene 18 años y espera","ir","VMNP","ir",NA,NA,"a el Universidad en el año proximo ."
"IRENG.xlsx","1622","4601","Nota/aviso","Nota llegar tarde",15,"Hombre","Estados Unidos","Inglés","Primaria",54,5,"Amigos","Llego tarde a casa esta noche por qué tengo mucha tarea y necesito","ir","VMNP","ir",NA,NA,"a el biblioteca ."
"IRENG.xlsx","101","275","Nota/aviso","Nota llegar tarde",49,"Hombre","Irlanda","Inglés","Primaria",13,12,"No","Entonces vamos","ir","VMNP","ir",NA,NA,"a el bar para hablar politico con el gobiernor ."
"IRENG.xlsx","1630","4619","Correo electrónico","Cambio trabajo",23,"Hombre","Australia","Inglés","Universidad",1,9,"Amigos","Me gusta","ir","VMNP","ir",NA,NA,"a la playa , jugar el futbol , y bebo y bailar con mis amigos en fin de semana ."
"IRENG.xlsx","53","142","Correo electrónico","Cambio trabajo",57,"Hombre","Irlanda","Inglés","Otros",54,12,"No","Vivo cerca de el centro de Dublin y me gusta","ir","VMNP","ir",NA,NA,"a las bares , cines y restaurantes ."
"IRENG.xlsx","1333","3775","Nota/aviso","Nota llegar tarde",25,"Mujer","China","Inglés","Universidad",24,5,"Otros","Tengo que","ir","VMNP","ir",NA,NA,"a el hospital ahora , por que me duele mucho el cabeza ."
"IRENG.xlsx","59","161","Nota/aviso","Nota llegar tarde",50,"Hombre","Irlanda","Inglés","Otros",49,12,"No","Yo tengo que","ir","VMNP","ir",NA,NA,"a el cine con mi novia ."
"IRENG.xlsx","101","275","Nota/aviso","Nota llegar tarde",49,"Hombre","Irlanda","Inglés","Primaria",13,12,"No","Esta noche hablamos sobre religio y politico ,","ir","VINP","ir",NA,NA,"a dormir , porque hablamos mucho ."
"IRENG.xlsx","2740","7615","Nota/aviso","Nota llegar tarde",16,"Mujer","Japón","Inglés","Secundaria",8,96,"No","Yo voy","ir","VMNP","ir",NA,NA,"casa a las nueve_de_media ."
"IRENG.xlsx","101","274","Correo electrónico","Cambio trabajo",49,"Hombre","Irlanda","Inglés","Primaria",13,12,"No","Me gusta","ir","VMNP","ir",NA,NA,"de peliculas , me gusta cereveza , especialmente Guinness ."
"IRENG.xlsx","59","161","Nota/aviso","Nota llegar tarde",50,"Hombre","Irlanda","Inglés","Otros",49,12,"No","No quiero para","ir","VMNP","ir",NA,NA,"pero mi novia le encanta mucha la pelicula ."
"IRENG.xlsx","55","148","Correo electrónico","Cambio trabajo",52,"Mujer","Irlanda","Inglés","Otros",52,5,"Otros","Me gusta","ir","VMNP","ir",NA,NA,"a Mallorca y me gusta espeicalmente las comidas español - paellas , chorizo y el vino tinto ."
"IRENG.xlsx","1728","4897","Correo electrónico","Cambio trabajo",31,"Hombre","Reino Unido","Inglés","Universidad",30,6,"No","No me gusta nada leer y no me gusta","ir","VMNP","ir",NA,NA,"a el gimnasio ."
"IRENG.xlsx","140","375","Correo electrónico","Cambio trabajo",52,"Mujer","Estados Unidos","Inglés","Universidad",50,2,"Amigos","Estoy contenta","ir","VINP","ir",NA,NA,"a trabajar con vuestros ."
"IRENG.xlsx","101","274","Correo electrónico","Cambio trabajo",49,"Hombre","Irlanda","Inglés","Primaria",13,12,"No","Me gusta","ir","VMNP","ir",NA,NA,"a la playa ."
"IRENG.xlsx","201","552","Correo electrónico","Cambio trabajo",32,"Mujer","Francia","Inglés","Primaria",1,1,"No","A mi me gusta tambien","ir","VMNP","ir",NA,NA,"a la playa o el parque enfantile con el ninos ."
"IRENG.xlsx","1622","4600","Correo electrónico","Cambio trabajo",15,"Hombre","Estados Unidos","Inglés","Primaria",54,5,"Amigos","Me gusta","ir","VMNP","ir",NA,NA,"a el gimnasio ."
"IRENG.xlsx","55","150","Correo electrónico","Familia",52,"Mujer","Irlanda","Inglés","Otros",52,5,"Otros","Voy a","ir","VMNP","ir",NA,NA,"a Mallorca en el proximo lunes para una semana ."
"IRENG.xlsx","54","145","Correo electrónico","Cambio trabajo",45,"Mujer","Irlanda","Inglés","Otros",44,14,"No","Me gusta mucha","ir","VMNP","ir",NA,NA,"a comprar ."
"IRENG.xlsx","53","142","Correo electrónico","Cambio trabajo",57,"Hombre","Irlanda","Inglés","Otros",54,12,"No","Me gusta mucha leer , ver la tele y","ir","VMNP","ir",NA,NA,"a encuentrar a mis amigos ."
"IRENG.xlsx","138","370","Correo electrónico","Cambio trabajo",43,"Hombre","Corea del Sur","Inglés","Otros",42,10,"No","Si quieren estudiar español , tienen que","ir","VMNP","ir",NA,NA,"a el Instituto_Cervantes en Manhattan ."
"IRENG.xlsx","101","274","Correo electrónico","Cambio trabajo",49,"Hombre","Irlanda","Inglés","Primaria",13,12,"No","Soy viejo pero hacer deportes y","ir","VMNP","ir",NA,NA,"de bici ."
"IRENG.xlsx","98","265","Correo electrónico","Cambio trabajo",60,"Hombre","Irlanda","Inglés","Primaria",1,3,"Amigos","Tambien me gusta","ir","VMNP","ir",NA,NA,"a el Correo de Perras de_vez_en_quando , auque los perros me han cuesto mucho dinero en mi vida ."
"IRENG.xlsx","59","160","Correo electrónico","Cambio trabajo",50,"Hombre","Irlanda","Inglés","Otros",49,12,"No","Me encanta mirar rugby y mi favirito equipo se Leinster y","Irlanda","NP","Irlanda",NA,NA,"claro . ."
"IRENG.xlsx","59","160","Correo electrónico","Cambio trabajo",50,"Hombre","Irlanda","Inglés","Otros",49,12,"No","Me llamo Jimmy Y vivo en Dundalk en","Irlanda","NPG","Irlanda",NA,NA,", Yo quiero espanol para viajar en sudamerica y tambien quizas vivir en Espana para un poco tiempo ."
"IRENG.xlsx","98","267","Correo electrónico","Familia",60,"Hombre","Irlanda","Inglés","Primaria",1,3,"Amigos","Mi familia , todos son tranquillos , y no tenemos muchas problemas aunque , aqui en","Irlanda","NPG","Irlanda",NA,NA,"tenemos mucha gente sin trabajo ."
"IRENG.xlsx","96","259","Correo electrónico","Cambio trabajo",58,"Hombre","Irlanda","Inglés","Otros",25,20,"Amigos","Soy de","Irlanda","NPG","Irlanda",NA,NA,", y vivo en las afeuras de Dublin en el area se llama Dunlaoghaire ."
"IRENG.xlsx","61","166","Correo electrónico","Cambio trabajo",15,"Mujer","Irlanda","Inglés","Primaria",1,10,"No","Me gusto salir de noche a un restaurante , No me gusta mucho la comida chinois en","Irlanda","NPG","Irlanda",NA,NA,"pero es mehor en China ."
"IRENG.xlsx","55","148","Correo electrónico","Cambio trabajo",52,"Mujer","Irlanda","Inglés","Otros",52,5,"Otros","Llega a","Irlanda","NPG","Irlanda",NA,NA,"mañana a la mediodía , y voy a buscar le a el aeropuerto ."
"IRENG.xlsx","57","156","Correo electrónico","Familia",49,"Mujer","Irlanda","Inglés","Otros",48,13,"No","hermana , Aine , tiene 54 años , es professora d´ írlandas en Galway , una ciudad a el oest","Irlanda","NPG","Irlanda",NA,NA,"."
"IRENG.xlsx","55","148","Correo electrónico","Cambio trabajo",52,"Mujer","Irlanda","Inglés","Otros",52,5,"Otros","Me llamo María , y vivo en Wicklow ,","Irlanda","NPG","Irlanda",NA,NA,"."
"IRENG.xlsx","60","163","Correo electrónico","Cambio trabajo",67,"Hombre","Irlanda","Inglés","Universidad",1,0,"No","En el invierno en","Irlanda","NPG","Irlanda",NA,NA,", la mare es un_poco frio y no puedo nadar mas que diez minutos ."
"IRENG.xlsx","98","265","Correo electrónico","Cambio trabajo",60,"Hombre","Irlanda","Inglés","Primaria",1,3,"Amigos","Lo primero , Jaime esta trabajando en Cork , en a el sud de","Irlanda","NPG","Irlanda",NA,NA,", y su hermano Seán ha ido a Australia y esta trabando en una mina en el norde de el"
"IRENG.xlsx","210","577","Correo electrónico","Familia",31,"Mujer","Canadá","Inglés","Universidad",28,5,"Amigos&Familiares","Mi madre es","irlandaise","AQ+MS","irlandés",NA,NA,"y has vivido en Belfast quando ella es una nina ."
"IRENG.xlsx","57","156","Correo electrónico","Familia",49,"Mujer","Irlanda","Inglés","Otros",48,13,"No","La majora hermana , Aine , tiene 54 años , es professora d´","írlandas","NCMS","irlandés",NA,NA,"en Galway , una ciudad a el oest Irlanda ."
"IRENG.xlsx","61","166","Correo electrónico","Cambio trabajo",15,"Mujer","Irlanda","Inglés","Primaria",1,10,"No","Soy profesora de","irlandes","NCMS","irlandés",NA,NA,"y de frances ."
"IRENG.xlsx","58","159","Correo electrónico","Familia",61,"Hombre","Irlanda","Inglés","Otros",1,12,"No","Son nombres","irlandes","AQ+MS","irlandés",NA,NA,"y son muy bonitas ."
"IRENG.xlsx","1682","4774","Correo electrónico","Cambio trabajo",60,"Mujer","Irlanda","Inglés","Universidad",60,7,"Amigos","Mi marido es","irlandes","AQ+MS","irlandés",NA,NA,", y nosotros habemos dos hijos y una nuera ; ella es como una hija ."
"IRENG.xlsx","101","274","Correo electrónico","Cambio trabajo",49,"Hombre","Irlanda","Inglés","Primaria",13,12,"No","Me llamo Tomas , soy","Irlandes","AQ+MS","irlandés",NA,NA,"y tengo 49 años ."
"IRENG.xlsx","61","166","Correo electrónico","Cambio trabajo",15,"Mujer","Irlanda","Inglés","Primaria",1,10,"No","Soy","irlandesa","AQ+FS","irlandés",NA,NA,"de Donegal en el nord oeste de L,Irlanda ."
"IRENG.xlsx","1682","4774","Correo electrónico","Cambio trabajo",60,"Mujer","Irlanda","Inglés","Universidad",60,7,"Amigos","Me llame Mary , soy","irlandesa","AQ+FS","irlandés",NA,NA,", y tengo 60 años ."
"IRENG.xlsx","57","154","Correo electrónico","Cambio trabajo",49,"Mujer","Irlanda","Inglés","Otros",48,13,"No","Soy","irlandesa","AQ+FS","irlandés",NA,NA,"de Dublin ."
"IRENG.xlsx","1680","4768","Correo electrónico","Cambio trabajo",61,"Mujer","Irlanda","Inglés","Universidad",60,6,"No","Soy una mujer","Irlandesa","AQ+FS","irlandés",NA,NA,"y mi lengua familiar es Ingles pero hablo un_poco Frances y Italiano ."
"IRENG.xlsx","53","142","Correo electrónico","Cambio trabajo",57,"Hombre","Irlanda","Inglés","Otros",54,12,"No","uno metro y 80 cms , delante porque andando mucho , tengo pelo gris , ojos azules , estoy tipico","Irlandese","AQ+MS","irlandés",NA,NA,","
"IRENG.xlsx","53","142","Correo electrónico","Cambio trabajo",57,"Hombre","Irlanda","Inglés","Otros",54,12,"No","Soy un hombre","Irlandese","AQ+MS","irlandés",NA,NA,"de 57 años qui vive in Dublin , soy uno maestro en una escuela en el centro de la cuidad"
"VAENG.xlsx","56","153","Correo electrónico","Familia",23,"Hombre","Irlanda","Inglés","Universidad",20,12,"No","Ellos estudiantes , y","va","VMIP7S","ir",NA,NA,"Aidan a la mismo universidad con mi ."
"VAENG.xlsx","1630","4619","Correo electrónico","Cambio trabajo",23,"Hombre","Australia","Inglés","Universidad",1,9,"Amigos","Me llama es Liam_Harley y estoy","va","VMIP7S","ir",NA,NA,"a trabajo con su ."
"VAENG.xlsx","356","985","Correo electrónico","Familia",63,"Mujer","Reino Unido","Inglés","Universidad",63,3,"No","Ella","va","VMIP7S","ir",NA,NA,"a el escuela en segundo clase y su edad es siete anos ."
"VAENG.xlsx","231","639","Correo electrónico","Familia",28,"Hombre","Reino Unido","Inglés","Universidad",24,2,"Amigos","Bueno , mi","va","VIIP7S","ir",NA,NA,"hablar de mi familia ."
"VAENG.xlsx","53","142","Correo electrónico","Cambio trabajo",57,"Hombre","Irlanda","Inglés","Otros",54,12,"No","la comida , el vino , el ritmo de la noche , el gente , la cultura Espanol en_general y","va","VMIP7S","ir",NA,NA,"a Espana frequamente especialamente en los vacciones grandes qui tengo porque trabajo en escuela ."
"VAENG.xlsx","201","554","Correo electrónico","Familia",32,"Mujer","Francia","Inglés","Primaria",1,1,"No","Espero que todo","va","VMIP7S","ir",NA,NA,"bien ."
"VAENG.xlsx","55","150","Correo electrónico","Familia",52,"Mujer","Irlanda","Inglés","Otros",52,5,"Otros",NA,"Va","VMIP7S","ir",NA,NA,"a la escuela en el bus a la siete_y_media , y llega muy tarde , usualamente a las ocho_y_media ."
"VAENG.xlsx","140","377","Correo electrónico","Familia",52,"Mujer","Estados Unidos","Inglés","Universidad",50,2,"Amigos","Estoy en de","vacaciones","NCFP","vacación",NA,NA,"con mi familia en Costa_Rico ."
"VAENG.xlsx","201","554","Correo electrónico","Familia",32,"Mujer","Francia","Inglés","Primaria",1,1,"No","Mi padres viven en el sur de Inglaterra y trabajan mucho pero cuando le poden , van en","vacanciones","NCFP","vacación",NA,NA,"an España ."
"VAENG.xlsx","53","142","Correo electrónico","Cambio trabajo",57,"Hombre","Irlanda","Inglés","Otros",54,12,"No","ritmo de la noche , el gente , la cultura Espanol en_general y va a Espana frequamente especialamente en los","vacciones","NCFP","vacación",NA,NA,"grandes qui tengo porque trabajo en escuela ."
"VAENG.xlsx","95","256","Correo electrónico","Cambio trabajo",50,"Mujer","Irlanda","Inglés","Primaria",49,8,"Amigos","¡","Vale","I","vale",NA,NA,"!"
"VAENG.xlsx","53","143","Nota/aviso","Nota llegar tarde",57,"Hombre","Irlanda","Inglés","Otros",54,12,"No","Lo siento , soy tarde volver a la casa pero el tren de Malaga a","Valencia","NPG","Valencia",NA,NA,"es roti y soy en el bar in Marbella esperando para los reparades de el tren ."
"VAENG.xlsx","55","150","Correo electrónico","Familia",52,"Mujer","Irlanda","Inglés","Otros",52,5,"Otros","A las fins de semanas ( los sabados )","vamos","VMIP1P","ir",NA,NA,"a las tiendas o las peliqulas , y a los Domingos , relajar nos ."
"VAENG.xlsx","210","576","Nota/aviso","Nota llegar tarde",31,"Mujer","Canadá","Inglés","Universidad",28,5,"Amigos&Familiares","Posible","vamos","VIIP1P","ir",NA,NA,"a ver una pelicula despues ."
"VAENG.xlsx","1629","4618","Correo electrónico","Familia",42,"Mujer","Australia","Inglés","Universidad",1,0,"No","Siempre mi hermana y yo","vamos","VMIP1P","ir",NA,NA,"a Brisbane por navidad y tenemos una fiesta juntos con mis primos , dios y dias ."
"VAENG.xlsx","101","275","Nota/aviso","Nota llegar tarde",49,"Hombre","Irlanda","Inglés","Primaria",13,12,"No","Entonces","vamos","VIIP1P","ir",NA,NA,"ir a el bar para hablar politico con el gobiernor ."
"VAENG.xlsx","101","275","Nota/aviso","Nota llegar tarde",49,"Hombre","Irlanda","Inglés","Primaria",13,12,"No","Mis amigos y mi","vamos","VMIP1P","ir",NA,NA,"a el iglesia y hablamos con el bishop ."
"VAENG.xlsx","231","637","Correo electrónico","Cambio trabajo",28,"Hombre","Reino Unido","Inglés","Universidad",24,2,"Amigos","yo","vamos","VIIP1P","ir",NA,NA,"trabajar con tu en España en las meses proximas ."
